,Annee,Mois,Jour,Date,Co2
145,1977,3,6,1977.1767,334.27
146,1977,3,13,1977.1959,335.18
147,1977,3,20,1977.2151,335.32
148,1977,3,27,1977.2342,335.16
149,1977,4,3,1977.2534,335.96
150,1977,4,10,1977.2726,335.85
151,1977,4,17,1977.2918,336.3
152,1977,4,24,1977.3110000000001,336.58
153,1977,5,1,1977.3301,337.0
154,1977,5,8,1977.3493,336.58
155,1977,5,15,1977.3685,337.14
156,1977,5,22,1977.3877,336.97
157,1977,5,29,1977.4068,336.63
158,1977,6,5,1977.4260000000002,336.12
159,1977,6,12,1977.4452,336.01
160,1977,6,19,1977.4644,336.34
161,1977,6,26,1977.4836,335.74
162,1977,7,3,1977.5027,335.46
163,1977,7,10,1977.5219,335.23
164,1977,7,17,1977.5411,334.59
165,1977,7,24,1977.5603,334.09
166,1977,7,31,1977.5795,333.42
167,1977,8,7,1977.5986,332.54
168,1977,8,14,1977.6178,332.84
169,1977,8,21,1977.6370000000002,331.82
170,1977,8,28,1977.6562,332.25
171,1977,9,4,1977.6753,331.18
172,1977,9,11,1977.6945,331.49
173,1977,9,18,1977.7137,330.94
174,1977,9,25,1977.7329,330.92
175,1977,10,2,1977.7521,330.93
176,1977,10,9,1977.7712,331.54
177,1977,10,16,1977.7904,331.27
178,1977,10,23,1977.8096,331.36
179,1977,10,30,1977.8288,331.87
180,1977,11,6,1977.8479,332.08
181,1977,11,13,1977.8671,332.53
182,1977,11,20,1977.8863,332.92
183,1977,11,27,1977.9055,332.65
184,1977,12,4,1977.9247,333.34
185,1977,12,11,1977.9438,333.4
186,1977,12,18,1977.963,334.03
187,1977,12,25,1977.9822,333.99
188,1978,1,1,1978.0014,334.66
189,1978,1,8,1978.0205,334.56
190,1978,1,15,1978.0397,334.94
191,1978,1,22,1978.0589,335.68
192,1978,1,29,1978.0781,335.23
193,1978,2,5,1978.0973,334.74
194,1978,2,12,1978.1164,335.27
195,1978,2,19,1978.1356,335.5
196,1978,2,26,1978.1548,335.95
197,1978,3,5,1978.174,336.06
198,1978,3,12,1978.1932,336.73
199,1978,3,19,1978.2123,336.91
200,1978,3,26,1978.2315,337.29
201,1978,4,2,1978.2507,337.33
202,1978,4,9,1978.2699,338.0
203,1978,4,16,1978.289,337.62
204,1978,4,23,1978.3082,337.87
205,1978,4,30,1978.3274,338.27
206,1978,5,7,1978.3466,338.04
207,1978,5,14,1978.3658,337.89
208,1978,5,21,1978.3849,337.79
209,1978,5,28,1978.4041,338.44
210,1978,6,4,1978.4233,338.46
211,1978,6,11,1978.4425,338.12
212,1978,6,18,1978.4616,337.62
213,1978,6,25,1978.4808,337.47
214,1978,7,2,1978.5,336.55
215,1978,7,9,1978.5192,336.79
216,1978,7,16,1978.5384,336.34
217,1978,7,23,1978.5575,335.74
218,1978,7,30,1978.5767,335.43
219,1978,8,6,1978.5959,334.64
220,1978,8,13,1978.6151,334.69
221,1978,8,20,1978.6342,334.21
222,1978,8,27,1978.6534,333.78
223,1978,9,3,1978.6726,332.81
224,1978,9,10,1978.6918,331.86
225,1978,9,17,1978.711,331.75
226,1978,9,24,1978.7301,332.81
227,1978,10,1,1978.7493,332.21
228,1978,10,8,1978.7685,331.85
229,1978,10,15,1978.7877,332.66
230,1978,10,22,1978.8068,332.77
231,1978,10,29,1978.826,333.22
232,1978,11,5,1978.8452,333.57
233,1978,11,12,1978.8644,333.6
234,1978,11,19,1978.8836,334.12
235,1978,11,26,1978.9027,334.1
236,1978,12,3,1978.9219,334.46
237,1978,12,10,1978.9411,334.96
238,1978,12,17,1978.9603,335.2
239,1978,12,24,1978.9795,335.07
240,1978,12,31,1978.9986,335.2
241,1979,1,7,1979.0178,335.48
242,1979,1,14,1979.037,336.64
243,1979,1,21,1979.0562,336.93
244,1979,1,28,1979.0753,337.02
245,1979,2,4,1979.0945,336.61
246,1979,2,11,1979.1137,336.52
247,1979,2,18,1979.1329,336.76
248,1979,2,25,1979.1521,336.97
249,1979,3,4,1979.1712,337.93
250,1979,3,11,1979.1904,338.1
251,1979,3,18,1979.2096,338.65
252,1979,3,25,1979.2288,338.97
253,1979,4,1,1979.2479,338.87
254,1979,4,8,1979.2671,338.78
255,1979,4,15,1979.2863,338.77
256,1979,4,22,1979.3055,339.38
257,1979,4,29,1979.3247,339.56
258,1979,5,6,1979.3438,338.6
259,1979,5,13,1979.3629999999998,339.19
260,1979,5,20,1979.3822,-999.99
261,1979,5,27,1979.4014,339.8
262,1979,6,3,1979.4205,339.74
263,1979,6,10,1979.4397,339.03
264,1979,6,17,1979.4589,339.13
265,1979,6,24,1979.4781,338.92
266,1979,7,1,1979.4973,338.14
267,1979,7,8,1979.5164,337.7
268,1979,7,15,1979.5356,337.91
269,1979,7,22,1979.5548,336.67
270,1979,7,29,1979.5739999999998,336.84
271,1979,8,5,1979.5932,336.35
272,1979,8,12,1979.6123,336.18
273,1979,8,19,1979.6315,334.81
274,1979,8,26,1979.6507,335.25
275,1979,9,2,1979.6699,333.74
276,1979,9,9,1979.6889999999999,334.4
277,1979,9,16,1979.7082,333.61
278,1979,9,23,1979.7274,333.61
